address,name,source,compiled_size,mapped_size,matching
0x08000220,VBlankIntr,src/interrupt/vblank_intr.c,364,364,yes
0x0800038C,InitInterrupts,src/bootstrap/init_interrupts.c,164,164,yes
0x08000430,GameInit,src/bootstrap/game_init.c,768,768,yes
0x08000730,NoOpVBlankFinalize,src/interrupt/irq_helpers.c,2,2,yes
0x08000734,DummyIntr,src/interrupt/irq_helpers.c,2,2,yes
0x08000738,RunVBlankTransfers,src/interrupt/irq_helpers.c,96,96,yes
0x08000798,NoOpInterruptHelper,src/interrupt/irq_helpers.c,2,2,yes
0x0800079C,VCountIntr,src/interrupt/irq_helpers.c,24,24,yes
0x080007B4,ResetDisplayAndInterrupts,src/bootstrap/reset_display_interrupts.c,120,120,yes
0x0800082C,InitSaveSystem,src/save/init_save_system.c,240,240,yes
0x0800091C,ReadEepromBytes,src/save/read_eeprom_bytes.c,208,208,yes
0x080009EC,WriteEepromBytes,src/save/write_eeprom_bytes.c,276,276,yes
0x08000B00,WriteSaveSlot,src/save/save_slots.c,120,120,yes
0x08000B78,ReadSaveSlot,src/save/save_slots.c,108,108,yes
0x08000BE4,IsSaveSlotValid,src/save/save_wrappers.c,28,28,yes
0x08000C00,ReadSaveMetadata,src/save/save_wrappers.c,18,18,yes
0x08000C14,WriteSaveMetadata,src/save/save_wrappers.c,18,18,yes
0x08000C28,InitSaveManager,src/save/save_manager.c,248,248,yes
0x08000D20,LoadSaveSlot,src/save/save_manager.c,96,96,yes
0x08000D80,WriteGameSaveSlot,src/save/save_manager.c,92,92,yes
0x08000DDC,ReadEepromRange,src/save/read_eeprom_range.c,320,320,yes
0x08000F1C,WriteEepromRange,src/save/write_eeprom_range.c,376,376,yes
0x08001094,EraseSaveSlot,src/save/save_helpers.c,62,62,yes
0x080010D4,GetSaveSlotHeader,src/save/save_helpers.c,36,36,yes
0x080010F8,ReadU8,src/save/save_helpers.c,4,4,yes
0x080010FC,ReadU16LE,src/save/save_helpers.c,12,12,yes
0x08001108,ReadU32LE,src/save/save_helpers.c,24,24,yes
0x08001120,WriteU8,src/save/save_helpers.c,4,4,yes
0x08001124,WriteU16LE,src/save/save_helpers.c,12,12,yes
0x08001130,WriteU32LE,src/save/save_helpers.c,28,28,yes
0x0800114C,BuildActiveMenuItems,src/ui/build_active_menu_items.c,160,160,yes
0x080011EC,DrawMenuItems,src/ui/draw_menu_items.c,448,448,yes
0x080013AC,InitMenuScreen,src/ui/init_menu_screen.c,172,172,yes
0x08001458,RunMenuScreen,src/ui/menu_screen.c,1448,1448,no
0x08001A00,RunMenuLoop,src/ui/menu_loop.c,960,960,yes
0x08001DC0,ResetMenuState,src/ui/menu_helpers.c,64,64,yes
0x08001E00,IsMenuFlagSet,src/ui/menu_helpers.c,28,28,yes
0x08001E1C,FinalizeMenuLayout,src/ui/menu_helpers.c,18,18,yes
